ROTESTE PIXEL KOORDINATEN
==================================================

Anzahl vertikaler Linien: 500
Marker-Größe: 5 px
Boden-ROI-Größe: 2624 x 2624 px

Gefundene roteste Pixel: 500

  Linie 279: x=1463, y=1405
  Linie 280: x=1467, y=1363
  Linie 281: x=1473, y=1368
  Linie 282: x=1478, y=1366
  Linie 283: x=1484, y=1363
  Linie 284: x=1486, y=1364
  Linie 285: x=1494, y=1363
  Linie 286: x=1499, y=1362
  Linie 287: x=1505, y=1365
  Linie 288: x=1506, y=1365
  Linie 289: x=1511, y=1363
  Linie 290: x=1516, y=1364
  Linie 291: x=1526, y=1365
  Linie 292: x=1531, y=1367
  Linie 293: x=1532, y=1368
  Linie 294: x=1541, y=1365
  Linie 295: x=1545, y=1366
  Linie 296: x=1548, y=1367
  Linie 297: x=1553, y=1366
  Linie 298: x=1561, y=1369
  Linie 299: x=1568, y=1369
  Linie 300: x=1572, y=1372
  Linie 301: x=1574, y=1373
  Linie 302: x=1582, y=1370
  Linie 303: x=1587, y=1371
  Linie 304: x=1591, y=1372
  Linie 305: x=1596, y=1372
  Linie 306: x=1600, y=1371
  Linie 307: x=1609, y=1374
  Linie 308: x=1615, y=1377
  Linie 309: x=1618, y=1377
  Linie 310: x=1623, y=1376
  Linie 311: x=1631, y=1376
  Linie 312: x=1636, y=1377
  Linie 313: x=1640, y=1379
  Linie 314: x=1642, y=1378
  Linie 315: x=1651, y=1379
  Linie 316: x=1653, y=1379
  Linie 317: x=1658, y=1378
  Linie 318: x=1663, y=1379
  Linie 319: x=1669, y=1381
  Linie 320: x=1678, y=1378
  Linie 321: x=1679, y=1378
  Linie 322: x=1687, y=1384
  Linie 323: x=1693, y=1384
  Linie 324: x=1695, y=1384
  Linie 325: x=1700, y=1384
  Linie 326: x=1705, y=1386
  Linie 327: x=1712, y=1383
  Linie 328: x=1717, y=1383
  Linie 329: x=1722, y=1386
  Linie 330: x=1726, y=1386
  Linie 331: x=1731, y=1383
  Linie 332: x=1741, y=1388
  Linie 333: x=1746, y=1390
  Linie 334: x=1751, y=1388
  Linie 335: x=1752, y=1388
  Linie 336: x=1759, y=1388
  Linie 337: x=1763, y=1389
  Linie 338: x=1771, y=1392
  Linie 339: x=1775, y=1391
  Linie 340: x=1783, y=1392
  Linie 341: x=1786, y=1391
  Linie 342: x=1789, y=1393
  Linie 343: x=1798, y=1395
  Linie 344: x=1802, y=1393
  Linie 345: x=1807, y=1392
  Linie 346: x=1813, y=1395
  Linie 347: x=1819, y=1397
  Linie 348: x=1821, y=1395
  Linie 349: x=1829, y=1398
  Linie 350: x=1832, y=1397
  Linie 351: x=1840, y=1400
  Linie 352: x=1842, y=1400
  Linie 353: x=1847, y=1400
  Linie 354: x=1856, y=1399
  Linie 355: x=1861, y=1399
  Linie 356: x=1863, y=1400
  Linie 357: x=1868, y=1399
  Linie 358: x=1877, y=1402
  Linie 359: x=1878, y=1402
  Linie 360: x=1884, y=1401
  Linie 361: x=1892, y=1405
  Linie 362: x=1894, y=1404
  Linie 363: x=1899, y=1405
  Linie 364: x=1905, y=1407
  Linie 365: x=1910, y=1407
  Linie 366: x=1919, y=1409
  Linie 367: x=1925, y=1410
  Linie 368: x=1930, y=1408
  Linie 369: x=1935, y=1409
  Linie 370: x=1937, y=1409
  Linie 371: x=1941, y=1409
  Linie 372: x=1947, y=1412
  Linie 373: x=1956, y=1412
  Linie 374: x=1961, y=1414
  Linie 375: x=1965, y=1414
  Linie 376: x=1968, y=1414
  Linie 377: x=1973, y=1414
  Linie 378: x=1978, y=1414
  Linie 379: x=1983, y=1417
  Linie 380: x=1993, y=1417
  Linie 381: x=1998, y=1417
  Linie 382: x=2002, y=1416
  Linie 383: x=2004, y=1416
  Linie 384: x=2009, y=1420
  Linie 385: x=2015, y=1419
  Linie 386: x=2023, y=1422
  Linie 387: x=2025, y=1422
  Linie 388: x=2033, y=1424
  Linie 389: x=2040, y=1424
  Linie 390: x=2044, y=1424
  Linie 391: x=2050, y=1426
  Linie 392: x=2051, y=1424
  Linie 393: x=2057, y=1424
  Linie 394: x=2062, y=1425
  Linie 395: x=2069, y=1427
  Linie 396: x=2077, y=1429
  Linie 397: x=2082, y=1432
  Linie 398: x=2083, y=1431
  Linie 399: x=2088, y=1431
  Linie 400: x=2097, y=1434
  Linie 401: x=2099, y=1434
  Linie 402: x=2107, y=1434
  Linie 403: x=2109, y=1434
  Linie 404: x=2116, y=1436
  Linie 405: x=2120, y=1436
  Linie 406: x=2129, y=1438
