LASER-LINIEN STARTPUNKTE
==================================================

ROI-Groesse: 2316 x 2316 px
Rand-Margin: 23 px (1.0%)
Gap-Toleranz: 23 px (1.0%)

Vertikale Startpunkte (am linken Rand): 352
  H45: x=267, y=2295
  H46: x=395, y=2295
  H47: x=564, y=2295
  H48: x=631, y=2295
  H49: x=733, y=2295
  H50: x=894, y=2295
  H51: x=991, y=2295
  H52: x=1053, y=2295
  H53: x=1109, y=2295
  H54: x=1133, y=2295
  H55: x=1220, y=2295
  H56: x=1276, y=2295
  H57: x=1340, y=2295
  H58: x=1364, y=2295
  H59: x=1574, y=2295
  H60: x=1635, y=2295
  H61: x=1837, y=2295
  H62: x=1970, y=2295
  H63: x=2310, y=2295
  H64: x=98, y=2296
  H65: x=191, y=2296
  H66: x=255, y=2296
  H67: x=351, y=2296
  H68: x=392, y=2296
  H69: x=541, y=2296
  H70: x=685, y=2296
  H71: x=733, y=2296
  H72: x=936, y=2296
  H73: x=991, y=2296
  H74: x=1050, y=2296
  H75: x=1241, y=2296
  H76: x=1320, y=2296
  H77: x=1365, y=2296
  H78: x=1550, y=2296
  H79: x=1576, y=2296
  H80: x=1735, y=2296
  H81: x=1764, y=2296
  H82: x=1836, y=2296
  H83: x=1897, y=2296
  H84: x=1941, y=2296
  H85: x=83, y=2297
  H86: x=209, y=2297
  H87: x=274, y=2297
  H88: x=396, y=2297
  H89: x=508, y=2297
  H90: x=539, y=2297
  H91: x=691, y=2297
  H92: x=733, y=2297
  H93: x=888, y=2297
  H94: x=938, y=2297
  H95: x=991, y=2297
  H96: x=1044, y=2297
  H97: x=1128, y=2297
  H98: x=1181, y=2297
  H99: x=1236, y=2297
  H100: x=1286, y=2297
  H101: x=1329, y=2297
  H102: x=1449, y=2297
  H103: x=1550, y=2297
  H104: x=1628, y=2297
  H105: x=1738, y=2297
  H106: x=1764, y=2297
  H107: x=1825, y=2297
  H108: x=1890, y=2297
  H109: x=1935, y=2297
  H110: x=2309, y=2297
  H111: x=92, y=2298
  H112: x=209, y=2298
  H113: x=265, y=2298
  H114: x=354, y=2298
  H115: x=540, y=2298
  H116: x=686, y=2298
  H117: x=743, y=2298
  H118: x=896, y=2298
  H119: x=941, y=2298
  H120: x=1052, y=2298
  H121: x=1141, y=2298
  H122: x=1182, y=2298
  H123: x=1249, y=2298
  H124: x=1276, y=2298
  H125: x=1318, y=2298
  H126: x=1574, y=2298
  H127: x=1764, y=2298
  H128: x=1835, y=2298
  H129: x=1935, y=2298
  H130: x=81, y=2299
  H131: x=219, y=2299
  H132: x=265, y=2299
  H133: x=353, y=2299
  H134: x=564, y=2299
  H135: x=644, y=2299
  H136: x=682, y=2299
  H137: x=732, y=2299
  H138: x=955, y=2299
  H139: x=1048, y=2299
  H140: x=1127, y=2299
  H141: x=1171, y=2299
  H142: x=1233, y=2299
  H143: x=1313, y=2299
  H144: x=1355, y=2299
  H145: x=1549, y=2299
  H146: x=1576, y=2299
  H147: x=1610, y=2299
  H148: x=1835, y=2299
  H149: x=1895, y=2299
  H150: x=2007, y=2299
  H151: x=84, y=2300
  H152: x=217, y=2300
  H153: x=271, y=2300
  H154: x=329, y=2300
  H155: x=381, y=2300
  H156: x=540, y=2300
  H157: x=654, y=2300
  H158: x=682, y=2300
  H159: x=740, y=2300
  H160: x=891, y=2300
  H161: x=960, y=2300
  H162: x=1050, y=2300
  H163: x=1127, y=2300
  H164: x=1152, y=2300
  H165: x=1233, y=2300
  H166: x=1258, y=2300
  H167: x=1299, y=2300
  H168: x=1370, y=2300
  H169: x=1429, y=2300
  H170: x=1549, y=2300
  H171: x=1576, y=2300
  H172: x=1830, y=2300
  H173: x=1894, y=2300
  H174: x=1935, y=2300
  H175: x=1963, y=2300
  H176: x=96, y=2301
  H177: x=218, y=2301
  H178: x=269, y=2301
  H179: x=394, y=2301
  H180: x=554, y=2301
  H181: x=639, y=2301
  H182: x=682, y=2301
  H183: x=743, y=2301
  H184: x=891, y=2301
  H185: x=940, y=2301
  H186: x=1022, y=2301
  H187: x=1050, y=2301
  H188: x=1315, y=2301
  H189: x=1370, y=2301
  H190: x=1550, y=2301
  H191: x=1576, y=2301
  H192: x=1610, y=2301
  H193: x=1807, y=2301
  H194: x=1889, y=2301
  H195: x=1955, y=2301
  H196: x=2005, y=2301
  H197: x=2307, y=2301
  H198: x=85, y=2302
  H199: x=216, y=2302
  H200: x=266, y=2302
  H201: x=354, y=2302
  H202: x=491, y=2302
  H203: x=523, y=2302
  H204: x=700, y=2302
  H205: x=744, y=2302
  H206: x=897, y=2302
  H207: x=940, y=2302
  H208: x=1022, y=2302
  H209: x=1053, y=2302
  H210: x=1127, y=2302
  H211: x=1170, y=2302
  H212: x=1318, y=2302
  H213: x=1373, y=2302
  H214: x=1483, y=2302
  H215: x=1613, y=2302
  H216: x=1830, y=2302
  H217: x=1889, y=2302
  H218: x=1934, y=2302
  H219: x=1992, y=2302
  H220: x=84, y=2303
  H221: x=216, y=2303
  H222: x=359, y=2303
  H223: x=475, y=2303
  H224: x=523, y=2303
  H225: x=689, y=2303
  H226: x=742, y=2303
  H227: x=886, y=2303
  H228: x=959, y=2303
  H229: x=1001, y=2303
  H230: x=1049, y=2303
  H231: x=1152, y=2303
  H232: x=1286, y=2303
  H233: x=1365, y=2303
  H234: x=1485, y=2303
  H235: x=1548, y=2303
  H236: x=1607, y=2303
  H237: x=1636, y=2303
  H238: x=1789, y=2303
  H239: x=1867, y=2303
  H240: x=1893, y=2303
  H241: x=1951, y=2303
  H242: x=94, y=2304
  H243: x=217, y=2304
  H244: x=327, y=2304
  H245: x=369, y=2304
  H246: x=529, y=2304
  H247: x=560, y=2304
  H248: x=643, y=2304
  H249: x=683, y=2304
  H250: x=753, y=2304
  H251: x=897, y=2304
  H252: x=1022, y=2304
  H253: x=1049, y=2304
  H254: x=1076, y=2304
  H255: x=1152, y=2304
  H256: x=1179, y=2304
  H257: x=1289, y=2304
  H258: x=1364, y=2304
  H259: x=1440, y=2304
  H260: x=1548, y=2304
  H261: x=1609, y=2304
  H262: x=1788, y=2304
  H263: x=1838, y=2304
  H264: x=1892, y=2304
  H265: x=96, y=2305
  H266: x=223, y=2305
  H267: x=275, y=2305
  H268: x=376, y=2305
  H269: x=492, y=2305
  H270: x=638, y=2305
  H271: x=698, y=2305
  H272: x=753, y=2305
  H273: x=907, y=2305
  H274: x=955, y=2305
  H275: x=984, y=2305
  H276: x=1019, y=2305
  H277: x=1049, y=2305
  H278: x=1142, y=2305
  H279: x=1177, y=2305
  H280: x=1289, y=2305
  H281: x=1369, y=2305
  H282: x=1452, y=2305
  H283: x=1548, y=2305
  H284: x=1785, y=2305
  H285: x=1892, y=2305
  H286: x=1937, y=2305
  H287: x=85, y=2306
  H288: x=233, y=2306
  H289: x=273, y=2306
  H290: x=508, y=2306
  H291: x=546, y=2306
  H292: x=693, y=2306
  H293: x=753, y=2306
  H294: x=900, y=2306
  H295: x=935, y=2306
  H296: x=984, y=2306
  H297: x=1019, y=2306
  H298: x=1049, y=2306
  H299: x=1151, y=2306
  H300: x=1318, y=2306
  H301: x=1358, y=2306
  H302: x=1457, y=2306
  H303: x=1550, y=2306
  H304: x=1606, y=2306
  H305: x=1784, y=2306
  H306: x=1880, y=2306
  H307: x=1951, y=2306
  H308: x=88, y=2307
  H309: x=218, y=2307
  H310: x=274, y=2307
  H311: x=349, y=2307
  H312: x=382, y=2307
  H313: x=561, y=2307
  H314: x=642, y=2307
  H315: x=684, y=2307
  H316: x=744, y=2307
  H317: x=768, y=2307
  H318: x=897, y=2307
  H319: x=986, y=2307
  H320: x=1049, y=2307
  H321: x=1134, y=2307
  H322: x=1175, y=2307
  H323: x=1290, y=2307
  H324: x=1350, y=2307
  H325: x=1457, y=2307
  H326: x=1547, y=2307
  H327: x=1630, y=2307
  H328: x=1781, y=2307
  H329: x=1814, y=2307
  H330: x=1880, y=2307
  H331: x=1949, y=2307
  H332: x=2000, y=2307
  H333: x=84, y=2308
  H334: x=217, y=2308
  H335: x=333, y=2308
  H336: x=379, y=2308
  H337: x=565, y=2308
  H338: x=684, y=2308
  H339: x=732, y=2308
  H340: x=905, y=2308
  H341: x=989, y=2308
  H342: x=1052, y=2308
  H343: x=1175, y=2308
  H344: x=1329, y=2308
  H345: x=1402, y=2308
  H346: x=1463, y=2308
  H347: x=1574, y=2308
  H348: x=1742, y=2308
